house_id,bedrooms,bathrooms,square_footage,lot_size,location,year_built,price
,2,1,1021,0.24,Shelbyville,1969,344467.8
,3,3,3382,0.4,Shelbyville,1992,878602.08
,4,1,1710,0.87,Shelbyville,2020,650006.83
,1,2,2592,0.21,Shelbyville,2013,402240.61
,6,2,1807,0.16,Capital City,1954,779844.03
,3,3,934,0.38,Shelbyville,2005,632675.0
,1,1,1554,0.16,Springfield,1990,783062.92
,3,2,2685,0.92,Springfield,1965,199281.75
,3,3,780,0.34,Shelbyville,2007,919724.72
,5,1,1861,0.19,Shelbyville,1978,370615.66
,1,4,1958,0.94,Capital City,1978,828309.8
,3,2,2457,0.25,Shelbyville,1977,376608.83
,5,1,696,0.64,Springfield,1960,114709.94
,6,4,3140,0.4,Shelbyville,1961,917307.48
,1,2,513,0.83,Capital City,1951,217589.32
,1,4,2933,0.31,Springfield,2008,256484.03
,6,1,3176,0.12,Shelbyville,2014,509470.12
,1,1,3690,0.75,Springfield,1972,228201.57
,6,3,3762,0.33,Capital City,2005,949978.2
,2,4,2117,0.13,Shelbyville,1961,678168.6
,5,2,1383,0.78,Springfield,2019,136210.78
,3,2,2326,0.87,Shelbyville,1992,234748.37
,4,3,628,0.51,Capital City,1956,337208.56
,3,3,933,0.48,Capital City,1977,400688.48
,6,1,3450,0.47,Shelbyville,2004,392358.49
,2,2,2257,0.32,Shelbyville,1967,236749.11
,1,4,2417,0.79,Capital City,1983,417885.22
,4,1,2009,0.53,Capital City,2000,498586.45
,3,2,526,0.24,Springfield,1961,320873.16
,3,3,1581,0.65,Shelbyville,1969,650812.22
,5,3,2170,0.71,Capital City,1994,731598.44
,4,3,2144,0.89,Capital City,1996,244137.68
,5,2,2378,0.21,Shelbyville,1979,263555.54
,2,3,540,0.65,Shelbyville,2015,969615.76
,6,2,3714,0.48,Shelbyville,1976,980520.31
,5,1,2160,0.95,Capital City,2022,246259.39
,3,3,918,0.95,Springfield,1973,184678.99
,3,1,1837,0.2,Springfield,1998,583050.94
,2,4,2362,0.37,Shelbyville,1994,753895.36
,1,2,2765,0.58,Shelbyville,1998,150130.5
,4,4,1984,0.85,Springfield,1978,666173.6
,3,2,565,0.77,Shelbyville,1991,548408.93
,2,1,716,0.93,Capital City,1955,152609.3
,6,4,1693,0.1,Springfield,2023,139783.04
,5,4,2360,0.43,Shelbyville,1994,564906.07
,2,4,1352,0.54,Capital City,2010,168252.65
,6,4,3525,1.0,Shelbyville,2022,222413.97
,1,3,2586,0.47,Capital City,1969,875178.49
,6,2,1491,0.93,Shelbyville,1983,922788.47
,3,2,2320,0.19,Shelbyville,1993,461914.33
,6,4,1445,0.19,Shelbyville,2012,421605.55
,4,3,581,0.67,Capital City,2020,444114.86
,3,1,938,0.43,Shelbyville,2019,311101.24
,3,3,1946,0.72,Capital City,1992,486752.64
,5,2,1906,0.38,Shelbyville,1965,958870.61
,3,3,2894,0.66,Capital City,1950,605553.65
,4,3,2324,0.12,Springfield,1952,901540.44
,6,1,3760,0.28,Shelbyville,2004,862221.74
,2,3,3067,0.85,Springfield,1968,804096.78
,5,3,1145,0.53,Springfield,1989,372400.93
,1,4,1282,0.18,Shelbyville,1973,433387.62
,2,4,2529,0.54,Shelbyville,1959,292021.66
,5,4,567,0.26,Shelbyville,2007,729416.06
,6,2,3358,0.28,Springfield,1961,900628.39
,5,3,3567,0.68,Capital City,1992,995022.56
,4,4,2696,0.83,Springfield,1974,194391.39
,2,4,3005,0.47,Springfield,1972,160814.24
,6,3,2348,1.0,Capital City,2005,852605.7
,4,3,635,0.9,Capital City,1954,340045.15
,5,4,3132,0.54,Shelbyville,1964,981667.48
,6,2,3848,0.85,Springfield,2001,738219.78
,6,1,3106,0.46,Shelbyville,1978,787259.8
,4,3,1965,0.84,Capital City,1989,597692.71
,6,2,663,0.18,Capital City,1974,446761.13
,4,1,3244,0.71,Capital City,1987,994894.05
,4,1,960,0.61,Shelbyville,1972,733528.02
,1,2,2535,0.97,Shelbyville,1974,717180.56
,4,2,2779,0.94,Capital City,1965,683191.0
,6,2,1540,0.45,Springfield,2017,427566.08
,4,4,2815,0.58,Springfield,2009,592442.6
,3,2,698,0.84,Capital City,2009,301431.92
,2,1,1841,0.73,Shelbyville,1952,386451.37
,5,3,891,0.67,Springfield,2018,686596.22
,3,2,3830,0.37,Shelbyville,2022,192629.45
,5,2,714,0.57,Springfield,1965,296833.36
,2,2,3668,0.14,Shelbyville,2000,476383.16
,3,3,716,0.31,Springfield,2005,796065.84
,3,1,689,0.53,Capital City,1979,607352.48
,4,3,2529,0.44,Shelbyville,2015,712088.97
,4,4,3368,0.29,Springfield,1974,889662.68
,2,2,3652,0.35,Springfield,2009,681666.11
,5,4,1292,0.67,Shelbyville,1955,444604.95
,5,3,2955,0.64,Capital City,1971,102917.52
,1,3,2953,0.68,Capital City,2014,352599.02
,5,1,1082,0.85,Shelbyville,1991,757007.41
,4,4,1742,0.71,Capital City,2007,435188.13
,4,4,3063,0.2,Capital City,2001,616041.41
,5,3,2536,0.52,Springfield,2014,644074.83
,4,4,545,0.15,Shelbyville,1985,566251.89
,2,3,2378,0.73,Springfield,1978,665723.78
,6,4,2277,0.11,Capital City,1964,992484.96
,4,2,3086,0.16,Springfield,1977,966138.3
,5,3,1777,0.46,Springfield,1952,159405.51
,3,4,2412,0.86,Capital City,2002,848244.57
,2,1,3637,0.26,Shelbyville,2013,299631.26
,6,2,2094,0.7,Shelbyville,1960,587838.92
,4,1,2966,0.32,Shelbyville,1955,770131.87
,2,1,919,0.3,Shelbyville,2016,750702.61
,3,1,1225,0.67,Springfield,2006,492309.8
,3,1,2545,0.12,Springfield,1968,672465.93
,3,4,3705,0.66,Capital City,2012,377906.46
,5,4,902,0.33,Shelbyville,1956,367769.87
,6,4,3837,0.2,Shelbyville,1951,961407.38
,4,3,1961,0.45,Capital City,1967,605444.84
,1,3,3458,0.9,Capital City,2014,447435.15
,5,3,3849,0.43,Shelbyville,2000,775751.35
,2,3,1670,0.17,Capital City,1976,856507.71
,6,3,875,0.58,Shelbyville,1983,245158.92
,2,3,3072,0.57,Shelbyville,1983,165261.02
,1,1,3624,0.84,Capital City,1966,950394.47
,4,4,3892,0.82,Capital City,1960,277407.33
,6,1,1198,0.12,Springfield,1951,376036.18
,4,2,3668,0.65,Capital City,1953,356990.27
,2,2,789,0.89,Capital City,1984,357428.0
,3,2,1517,0.81,Springfield,1965,436969.75
,4,1,2299,0.52,Capital City,2015,545905.78
,4,4,558,0.46,Shelbyville,1994,778347.86
,1,2,2358,0.28,Shelbyville,2009,200895.05
,3,4,1935,0.44,Shelbyville,2019,644756.78
,1,1,1739,0.4,Shelbyville,2001,350099.14
,3,3,1206,0.18,Shelbyville,1986,622147.88
,1,1,1802,0.2,Shelbyville,1978,566845.21
,3,1,3020,0.22,Shelbyville,2020,675429.3
,3,1,2956,0.18,Springfield,1960,772888.36
,3,4,2168,0.64,Springfield,2022,351937.98
,6,3,2437,0.7,Capital City,1987,712314.65
,3,1,2200,0.74,Shelbyville,1950,776260.75
,4,1,1297,0.89,Springfield,1982,847439.69
,4,2,2238,0.77,Capital City,2016,724230.44
,2,3,924,0.31,Shelbyville,2010,616338.37
,6,1,2216,0.86,Capital City,2010,300157.08
,6,2,1090,0.67,Shelbyville,2003,185715.11
,3,3,2776,0.69,Capital City,1985,850462.14
,1,1,1507,0.39,Capital City,1987,416383.68
,3,3,3922,0.8,Capital City,1978,729845.12
,6,1,967,0.27,Springfield,2018,268762.91
,1,2,1879,0.42,Capital City,2018,518196.89
,4,3,3217,0.42,Capital City,1987,189483.15
,4,1,1378,0.89,Capital City,2005,747216.4
,4,3,773,0.56,Springfield,1999,692321.73
,6,4,1651,0.25,Shelbyville,1959,213896.81
,4,4,3969,0.22,Shelbyville,1973,274000.41
,3,3,1215,0.27,Capital City,1988,730789.54
,4,4,933,0.8,Capital City,1950,477100.63
,5,3,1992,0.18,Shelbyville,1999,443385.3
,3,3,3607,0.39,Springfield,1972,266634.92
,4,2,2070,0.88,Springfield,1967,382569.67
,2,4,1122,0.61,Capital City,1970,741548.25
,5,2,2773,0.5,Capital City,1963,548357.52
,3,1,2741,0.14,Shelbyville,1981,753210.63
,1,3,1353,0.16,Capital City,1954,692810.31
,3,3,642,0.66,Shelbyville,1967,228319.41
,2,2,1368,0.22,Capital City,2012,923540.73
,3,3,3137,0.34,Capital City,2002,803906.28
,1,1,890,0.92,Shelbyville,2004,167580.81
,4,4,1647,0.13,Capital City,1981,255347.83
,5,4,3299,0.67,Shelbyville,1953,540915.55
,1,2,3969,0.97,Capital City,2022,302931.71
,2,4,3899,0.68,Shelbyville,2017,253134.48
,4,2,943,0.25,Capital City,1996,954417.84
,6,1,3001,0.83,Capital City,1981,739030.13
,4,3,3254,0.25,Springfield,1955,582546.64
,2,4,3821,0.13,Springfield,2002,304581.32
,3,4,3033,0.89,Shelbyville,1983,437363.9
,2,3,2635,0.27,Capital City,1974,439390.23
,3,3,2246,0.16,Springfield,1981,675295.85
,4,1,2169,0.16,Capital City,1991,654178.09
,4,1,1906,0.57,Shelbyville,2004,564661.6
,6,1,1352,0.87,Shelbyville,2005,309396.55
,1,1,3218,0.15,Springfield,1999,454524.89
,2,3,844,0.75,Springfield,2000,174315.36
,3,3,2214,0.25,Capital City,2014,627198.58
,5,4,2625,0.92,Springfield,1959,564760.74
,2,2,3722,0.61,Capital City,1965,712011.1
,5,2,3282,0.67,Springfield,1958,525259.21
,2,3,2553,0.68,Shelbyville,1982,204751.55
,4,4,3811,0.35,Shelbyville,2013,741434.48
,5,3,3313,0.81,Shelbyville,1995,324650.74
,2,2,1566,0.21,Shelbyville,1953,198594.27
,1,2,968,0.59,Shelbyville,1986,779227.6
,1,2,1340,0.36,Shelbyville,2000,871089.67
,1,4,2610,0.48,Springfield,1964,477492.08
,4,3,3549,0.76,Capital City,1952,830821.44
,3,1,3426,0.79,Capital City,2021,598100.24
,2,1,2305,0.6,Springfield,1976,964420.75
,1,2,3615,0.82,Springfield,1975,415070.06
,5,4,3236,0.82,Springfield,2001,678946.76
,5,2,3840,0.42,Springfield,1974,514333.62
,4,4,2497,0.66,Shelbyville,1978,101937.42
,1,2,2953,0.12,Capital City,1981,294315.05
,6,2,1539,0.66,Capital City,2014,684531.16
,4,2,1665,0.4,Shelbyville,2010,433173.05
,2,4,3073,0.89,Shelbyville,1985,213268.8
,2,1,1330,0.21,Capital City,2020,202767.01
,4,3,2207,0.61,Springfield,1965,501919.53
,2,1,2559,0.77,Capital City,1954,436226.6
,6,4,2204,0.82,Shelbyville,1989,438994.71
,2,2,2947,0.31,Springfield,1984,158041.49
,3,1,2230,0.82,Capital City,1950,186038.18
,4,1,1437,0.65,Springfield,2010,307229.3
,1,4,3546,0.38,Capital City,1975,729014.61
,2,4,3036,0.86,Capital City,1975,722142.91
,5,2,2612,0.26,Capital City,1992,882556.9
,3,3,2152,0.58,Springfield,2006,699377.93
,4,4,1303,0.16,Capital City,2020,641346.6
,5,3,3722,0.68,Shelbyville,1961,316281.36
,6,1,1680,0.85,Shelbyville,1985,799264.76
,4,3,2081,0.47,Shelbyville,1965,507826.92
,5,3,2063,0.51,Capital City,2008,879357.54
,1,1,710,0.24,Capital City,2018,518188.63
,3,2,1590,0.96,Springfield,2000,321303.39
,3,4,665,0.71,Springfield,1979,650823.05
,4,3,3250,0.74,Capital City,1982,701282.15
,2,3,3787,0.71,Springfield,1950,898385.16
,2,3,3013,0.77,Capital City,1971,788065.89
,1,3,2101,0.43,Springfield,2023,507652.07
,5,4,1181,0.53,Shelbyville,1983,127613.63
,2,4,3334,0.4,Shelbyville,1974,292698.39
,5,4,1325,1.0,Shelbyville,2003,875259.45
,2,1,3695,0.29,Shelbyville,2015,386151.91
,6,3,3015,0.78,Springfield,2020,815900.55
,4,4,2813,0.61,Springfield,1997,580147.52
,2,2,2705,0.39,Capital City,1982,709297.72
,1,3,1078,0.99,Capital City,1977,987200.35
,5,2,2583,0.93,Springfield,1966,959417.95
,3,1,752,0.37,Springfield,1993,914783.1
,2,3,1732,0.48,Shelbyville,2008,921628.71
,1,3,3821,0.98,Shelbyville,1994,610708.64
,5,4,2397,0.9,Capital City,1955,187553.28
,2,4,791,0.95,Springfield,1996,622694.36
,1,4,2565,0.47,Springfield,2014,913432.85
,2,2,565,0.71,Shelbyville,1999,721588.98
,6,3,2544,0.12,Springfield,2012,181167.48
,3,1,3569,0.5,Capital City,1972,137868.82
,1,4,1347,0.86,Shelbyville,1956,991061.9
,2,4,2788,0.39,Springfield,1956,217357.46
,4,2,2799,0.99,Capital City,2014,110577.38
,6,4,3472,0.15,Capital City,1993,928151.26
,3,1,3775,0.35,Springfield,1998,643024.93
,6,3,1252,0.96,Springfield,2017,595215.37
,4,2,1552,0.21,Shelbyville,1999,990096.74
,6,4,1748,0.48,Capital City,2017,246829.81
,3,2,3870,0.11,Capital City,1986,876348.78
,4,4,2087,0.62,Springfield,1964,337546.87
,2,2,1107,0.59,Capital City,1967,124084.63
,6,1,603,0.49,Springfield,1990,419845.32
,3,3,780,0.58,Shelbyville,2001,954212.03
,2,2,3152,0.87,Springfield,1950,180879.25
,3,1,3375,0.22,Shelbyville,2002,868085.8
,2,4,2929,0.99,Shelbyville,1983,633496.02
,2,2,1438,0.33,Capital City,1997,441996.59
,1,2,852,0.37,Capital City,1963,882549.51
,4,3,3666,0.23,Shelbyville,2022,877504.35
,1,2,954,0.84,Springfield,1971,794860.26
,4,4,3740,0.25,Springfield,2004,180964.76
,2,2,562,0.11,Springfield,1956,650504.63
,5,2,2729,0.18,Springfield,2002,329065.59
,3,2,2061,0.96,Capital City,1983,223130.45
,5,1,2663,0.36,Springfield,1985,621571.85
,4,1,581,0.34,Springfield,2020,274292.92
,1,1,2254,0.83,Shelbyville,2003,826501.83
,4,2,1822,0.78,Capital City,2016,348308.14
,3,4,2761,0.32,Capital City,2008,711415.81
,6,2,2662,0.52,Capital City,1990,129347.11
,3,2,2059,0.61,Springfield,1953,213576.76
,6,4,3020,0.73,Capital City,1975,131323.96
,2,3,3771,0.82,Shelbyville,1959,678570.14
,2,4,2842,0.98,Springfield,1959,194633.89
,5,1,2504,0.58,Shelbyville,1968,964135.81
,1,1,2421,0.22,Springfield,1966,883429.46
,2,4,1797,0.7,Shelbyville,1950,888586.01
,1,1,3924,0.33,Springfield,2013,822479.37
,6,2,3683,0.31,Capital City,2003,489407.04
,5,3,2241,0.18,Springfield,2000,505388.48
,4,2,1510,0.87,Shelbyville,1956,117261.07
,5,3,2188,0.96,Capital City,1950,474930.17
,2,3,3297,0.73,Shelbyville,1964,900715.34
,4,1,904,0.57,Capital City,2022,615508.75
,3,2,2413,0.75,Springfield,2000,380417.96
,6,2,2366,0.81,Springfield,1971,978561.9
,5,3,1437,0.64,Springfield,1958,375347.26
,5,1,795,0.95,Springfield,1994,539461.93
,4,2,956,0.28,Capital City,1965,813185.18
,5,4,2550,0.34,Capital City,1952,541645.9
,4,2,3224,0.6,Shelbyville,2017,523181.45
,5,1,1853,0.86,Shelbyville,1972,261601.82
,3,3,1860,0.66,Shelbyville,1975,104671.91
,3,4,2117,0.75,Shelbyville,1987,988172.34
,1,4,581,0.79,Springfield,2002,614387.11
,4,4,1961,0.71,Shelbyville,1969,903763.32
,3,4,2295,0.6,Springfield,1967,901651.8
,2,3,955,0.31,Springfield,1981,419086.32
,1,2,3561,0.78,Capital City,1972,760704.84
,2,3,2643,0.64,Shelbyville,1967,422429.81
,6,1,1721,0.22,Capital City,1994,774461.78
,2,4,1956,0.95,Shelbyville,2015,492008.87
,6,2,3196,0.6,Shelbyville,2003,500800.5
,2,2,2154,0.48,Capital City,2017,806307.37
,6,3,1338,1.0,Springfield,2008,219639.0
,5,1,923,0.59,Capital City,1959,643344.15
,2,2,3543,0.66,Capital City,2010,738731.51
,5,4,3332,0.23,Shelbyville,1967,419757.07
,5,2,3027,0.54,Capital City,1960,310276.24
